order_id,order_date,supplier,supplier_region,product_category,sku,transport_mode,carrier,destination_dc,units_ordered,units_received,unit_cost,promised_lead_time_days,actual_lead_time_days,promised_delivery_date,actual_delivery_date,delay_days,status,on_time,in_full,order_value,otif
PO-2025-00001,2025-05-01,Bangalore ElectroTech,APAC,Electronics,ELE-7570,Air,SkyBridge Air Cargo,DC-South (GA),122,122.0,47.21,11,11.0,2025-05-12,2025-05-12,0.0,Delivered,True,True,5759.62,1.0
PO-2025-00002,2025-05-01,Pacific Components Co.,APAC,Electronics,ELE-6716,Ocean,BlueWave Lines,DC-East (PA),137,137.0,43.22,36,36.0,2025-06-06,2025-06-06,0.0,Delivered,True,True,5921.14,1.0
PO-2025-00003,2025-05-01,Monterrey Assembly,LATAM,Finished Goods,FIN-9621,Ground,RoadRunner Freight,DC-South (GA),95,95.0,88.41,12,9.0,2025-05-13,2025-05-10,0.0,Delivered,True,True,8398.95,1.0
PO-2025-00004,2025-05-01,Pacific Components Co.,APAC,Components,COM-2107,Ocean,Meridian Shipping,DC-East (PA),629,629.0,13.27,32,33.0,2025-06-02,2025-06-03,1.0,Delivered,False,True,8346.83,0.0
PO-2025-00005,2025-05-01,Shenzhen Precision Ltd,APAC,Components,COM-4968,Ocean,BlueWave Lines,DC-South (GA),598,598.0,18.95,34,28.0,2025-06-04,2025-05-29,0.0,Delivered,True,True,11332.1,1.0
PO-2025-00006,2025-05-01,Allegheny Metals,North America,Raw Materials,RAW-6215,Ground,Continental Trucking,DC-West (CA),2254,2254.0,9.77,7,2.0,2025-05-08,2025-05-03,0.0,Delivered,True,True,22021.58,1.0
PO-2025-00007,2025-05-01,Shenzhen Precision Ltd,APAC,Components,COM-3589,Ocean,BlueWave Lines,DC-South (GA),566,566.0,15.75,32,28.0,2025-06-02,2025-05-29,0.0,Delivered,True,True,8914.5,1.0
PO-2025-00008,2025-05-01,Monterrey Assembly,LATAM,Finished Goods,FIN-8410,Ground,RoadRunner Freight,DC-East (PA),86,86.0,83.37,11,10.0,2025-05-12,2025-05-11,0.0,Delivered,True,True,7169.82,1.0
PO-2025-00009,2025-05-02,Rhine Components GmbH,EMEA,Electronics,ELE-4947,Air,SkyBridge Air Cargo,DC-Central (TX),125,125.0,53.6,8,2.0,2025-05-10,2025-05-04,0.0,Delivered,True,True,6700.0,1.0
PO-2025-00010,2025-05-02,São Paulo Supply,LATAM,Finished Goods,FIN-8077,Ocean,BlueWave Lines,DC-Central (TX),90,90.0,92.37,28,27.0,2025-05-30,2025-05-29,0.0,Delivered,True,True,8313.3,1.0
PO-2025-00011,2025-05-02,Iberia Logistics SA,EMEA,Finished Goods,FIN-5865,Ocean,Meridian Shipping,DC-East (PA),100,100.0,77.96,24,19.0,2025-05-26,2025-05-21,0.0,Delivered,True,True,7796.0,1.0
PO-2025-00012,2025-05-02,Pacific Components Co.,APAC,Components,COM-4993,Ocean,Meridian Shipping,DC-East (PA),553,553.0,14.22,34,34.0,2025-06-05,2025-06-05,0.0,Delivered,True,True,7863.66,1.0
PO-2025-00013,2025-05-02,Allegheny Metals,North America,Raw Materials,RAW-8124,Ground,Continental Trucking,DC-Central (TX),2175,2175.0,5.47,8,3.0,2025-05-10,2025-05-05,0.0,Delivered,True,True,11897.25,1.0
PO-2025-00014,2025-05-02,Allegheny Metals,North America,Components,COM-5904,Ground,RoadRunner Freight,DC-East (PA),641,641.0,16.94,6,4.0,2025-05-08,2025-05-06,0.0,Delivered,True,True,10858.54,1.0
PO-2025-00015,2025-05-02,Allegheny Metals,North America,Components,COM-9052,Ground,RoadRunner Freight,DC-Central (TX),567,567.0,20.15,6,1.0,2025-05-08,2025-05-03,0.0,Delivered,True,True,11425.05,1.0
PO-2025-00016,2025-05-02,Iberia Logistics SA,EMEA,Packaging,PAC-8656,Ocean,Meridian Shipping,DC-West (CA),5378,5378.0,1.08,25,18.0,2025-05-27,2025-05-20,0.0,Delivered,True,True,5808.24,1.0
PO-2025-00017,2025-05-03,Iberia Logistics SA,EMEA,Finished Goods,FIN-8950,Ocean,BlueWave Lines,DC-Central (TX),93,93.0,58.64,24,20.0,2025-05-27,2025-05-23,0.0,Delivered,True,True,5453.52,1.0
PO-2025-00018,2025-05-03,Iberia Logistics SA,EMEA,Packaging,PAC-1560,Ocean,BlueWave Lines,DC-East (PA),5326,5326.0,0.95,23,18.0,2025-05-26,2025-05-21,0.0,Delivered,True,True,5059.7,1.0
PO-2025-00019,2025-05-03,Allegheny Metals,North America,Raw Materials,RAW-7765,Ground,RoadRunner Freight,DC-South (GA),2257,2257.0,7.81,5,1.0,2025-05-08,2025-05-04,0.0,Delivered,True,True,17627.17,1.0
PO-2025-00020,2025-05-03,Bangalore ElectroTech,APAC,Electronics,ELE-4372,Air,SkyBridge Air Cargo,DC-South (GA),114,114.0,53.31,13,9.0,2025-05-16,2025-05-12,0.0,Delivered,True,True,6077.34,1.0
PO-2025-00021,2025-05-03,Pacific Components Co.,APAC,Components,COM-4967,Ocean,Meridian Shipping,DC-West (CA),595,595.0,12.84,36,36.0,2025-06-08,2025-06-08,0.0,Delivered,True,True,7639.8,1.0
PO-2025-00022,2025-05-03,Shenzhen Precision Ltd,APAC,Electronics,ELE-9320,Ocean,BlueWave Lines,DC-East (PA),110,110.0,42.67,32,27.0,2025-06-04,2025-05-30,0.0,Delivered,True,True,4693.7,1.0
PO-2025-00023,2025-05-03,Iberia Logistics SA,EMEA,Packaging,PAC-2418,Ocean,BlueWave Lines,DC-West (CA),5323,5323.0,1.42,25,23.0,2025-05-28,2025-05-26,0.0,Delivered,True,True,7558.66,1.0
PO-2025-00024,2025-05-03,São Paulo Supply,LATAM,Raw Materials,RAW-8525,Ocean,BlueWave Lines,DC-East (PA),2131,2131.0,7.47,26,24.0,2025-05-29,2025-05-27,0.0,Delivered,True,True,15918.57,1.0
PO-2025-00025,2025-05-03,Pacific Components Co.,APAC,Electronics,ELE-1667,Ocean,BlueWave Lines,DC-East (PA),117,117.0,58.33,34,30.0,2025-06-06,2025-06-02,0.0,Delivered,True,True,6824.61,1.0
PO-2025-00026,2025-05-04,Rhine Components GmbH,EMEA,Components,COM-4631,Air,AeroFast,DC-West (CA),548,548.0,15.76,9,8.0,2025-05-13,2025-05-12,0.0,Delivered,True,True,8636.48,1.0
PO-2025-00027,2025-05-04,Iberia Logistics SA,EMEA,Packaging,PAC-9739,Ocean,Meridian Shipping,DC-South (GA),5487,5487.0,1.1,25,18.0,2025-05-29,2025-05-22,0.0,Delivered,True,True,6035.7,1.0
PO-2025-00028,2025-05-04,Allegheny Metals,North America,Components,COM-3397,Ground,Continental Trucking,DC-West (CA),583,583.0,13.41,8,4.0,2025-05-12,2025-05-08,0.0,Delivered,True,True,7818.03,1.0
PO-2025-00029,2025-05-04,Iberia Logistics SA,EMEA,Finished Goods,FIN-1997,Ocean,Meridian Shipping,DC-Central (TX),97,97.0,101.08,23,24.0,2025-05-27,2025-05-28,1.0,Delivered,False,True,9804.76,0.0
PO-2025-00030,2025-05-04,Great Lakes Packaging,North America,Packaging,PAC-2630,Ground,Continental Trucking,DC-Central (TX),5377,5377.0,1.57,6,3.0,2025-05-10,2025-05-07,0.0,Delivered,True,True,8441.89,1.0
PO-2025-00031,2025-05-05,São Paulo Supply,LATAM,Raw Materials,RAW-5079,Ocean,Meridian Shipping,DC-South (GA),2215,2215.0,10.04,28,21.0,2025-06-02,2025-05-26,0.0,Delivered,True,True,22238.6,1.0
PO-2025-00032,2025-05-05,Shenzhen Precision Ltd,APAC,Components,COM-1098,Ocean,BlueWave Lines,DC-East (PA),573,573.0,16.48,32,32.0,2025-06-06,2025-06-06,0.0,Delivered,True,True,9443.04,1.0
PO-2025-00033,2025-05-05,Rhine Components GmbH,EMEA,Electronics,ELE-1180,Air,AeroFast,DC-Central (TX),132,132.0,36.91,10,8.0,2025-05-15,2025-05-13,0.0,Delivered,True,True,4872.12,1.0
PO-2025-00034,2025-05-05,Great Lakes Packaging,North America,Packaging,PAC-7856,Ground,Continental Trucking,DC-East (PA),5327,5327.0,1.52,5,1.0,2025-05-10,2025-05-06,0.0,Delivered,True,True,8097.04,1.0
PO-2025-00035,2025-05-05,Allegheny Metals,North America,Components,COM-9408,Ground,RoadRunner Freight,DC-South (GA),618,618.0,15.54,7,7.0,2025-05-12,2025-05-12,0.0,Delivered,True,True,9603.72,1.0
PO-2025-00036,2025-05-05,Pacific Components Co.,APAC,Electronics,ELE-3817,Ocean,BlueWave Lines,DC-South (GA),116,116.0,26.0,33,34.0,2025-06-07,2025-06-08,1.0,Delivered,False,True,3016.0,0.0
PO-2025-00037,2025-05-06,Rhine Components GmbH,EMEA,Components,COM-1914,Air,SkyBridge Air Cargo,DC-Central (TX),556,556.0,18.81,8,3.0,2025-05-14,2025-05-09,0.0,Delivered,True,True,10458.36,1.0
PO-2025-00038,2025-05-06,Shenzhen Precision Ltd,APAC,Components,COM-9532,Ocean,BlueWave Lines,DC-Central (TX),606,606.0,15.9,33,26.0,2025-06-08,2025-06-01,0.0,Delivered,True,True,9635.4,1.0
PO-2025-00039,2025-05-06,Rhine Components GmbH,EMEA,Electronics,ELE-1774,Air,AeroFast,DC-South (GA),134,118.0,42.14,10,9.0,2025-05-16,2025-05-15,0.0,Delivered,True,False,5646.76,0.0
PO-2025-00040,2025-05-06,Monterrey Assembly,LATAM,Finished Goods,FIN-8340,Ground,RoadRunner Freight,DC-West (CA),88,88.0,100.36,11,6.0,2025-05-17,2025-05-12,0.0,Delivered,True,True,8831.68,1.0
PO-2025-00041,2025-05-06,Iberia Logistics SA,EMEA,Finished Goods,FIN-8000,Ocean,Meridian Shipping,DC-East (PA),66,66.0,70.05,25,27.0,2025-05-31,2025-06-02,2.0,Delivered,False,True,4623.3,0.0
PO-2025-00042,2025-05-06,Allegheny Metals,North America,Components,COM-6900,Ground,RoadRunner Freight,DC-Central (TX),636,636.0,18.53,6,3.0,2025-05-12,2025-05-09,0.0,Delivered,True,True,11785.08,1.0
PO-2025-00043,2025-05-06,Allegheny Metals,North America,Raw Materials,RAW-2524,Ground,Continental Trucking,DC-East (PA),2242,2242.0,8.77,6,4.0,2025-05-12,2025-05-10,0.0,Delivered,True,True,19662.34,1.0
PO-2025-00044,2025-05-07,Monterrey Assembly,LATAM,Components,COM-4058,Ground,Continental Trucking,DC-Central (TX),597,597.0,15.5,9,5.0,2025-05-16,2025-05-12,0.0,Delivered,True,True,9253.5,1.0
PO-2025-00045,2025-05-07,Rhine Components GmbH,EMEA,Components,COM-3739,Air,SkyBridge Air Cargo,DC-South (GA),601,601.0,11.42,9,9.0,2025-05-16,2025-05-16,0.0,Delivered,True,True,6863.42,1.0
PO-2025-00046,2025-05-07,Rhine Components GmbH,EMEA,Electronics,ELE-1623,Air,SkyBridge Air Cargo,DC-East (PA),127,127.0,45.7,8,5.0,2025-05-15,2025-05-12,0.0,Delivered,True,True,5803.9,1.0
PO-2025-00047,2025-05-07,Shenzhen Precision Ltd,APAC,Components,COM-3963,Ocean,BlueWave Lines,DC-West (CA),593,593.0,9.02,32,30.0,2025-06-08,2025-06-06,0.0,Delivered,True,True,5348.86,1.0
PO-2025-00048,2025-05-07,Great Lakes Packaging,North America,Packaging,PAC-3270,Ground,RoadRunner Freight,DC-South (GA),5408,5408.0,1.2,5,2.0,2025-05-12,2025-05-09,0.0,Delivered,True,True,6489.6,1.0
PO-2025-00049,2025-05-07,São Paulo Supply,LATAM,Finished Goods,FIN-4711,Ocean,Meridian Shipping,DC-West (CA),87,87.0,104.6,27,29.0,2025-06-03,2025-06-05,2.0,Delivered,False,True,9100.2,0.0
PO-2025-00050,2025-05-07,Pacific Components Co.,APAC,Electronics,ELE-5035,Ocean,BlueWave Lines,DC-Central (TX),134,113.0,35.77,32,24.0,2025-06-08,2025-05-31,0.0,Delivered,True,False,4793.18,0.0
PO-2025-00051,2025-05-07,Pacific Components Co.,APAC,Electronics,ELE-7580,Ocean,Meridian Shipping,DC-South (GA),129,129.0,48.91,34,36.0,2025-06-10,2025-06-12,2.0,Delivered,False,True,6309.39,0.0
PO-2025-00052,2025-05-07,Iberia Logistics SA,EMEA,Packaging,PAC-1052,Ocean,Meridian Shipping,DC-East (PA),5363,5363.0,0.97,23,18.0,2025-05-30,2025-05-25,0.0,Delivered,True,True,5202.11,1.0
PO-2025-00053,2025-05-07,Rhine Components GmbH,EMEA,Electronics,ELE-9305,Air,AeroFast,DC-West (CA),126,126.0,40.69,10,10.0,2025-05-17,2025-05-17,0.0,Delivered,True,True,5126.94,1.0
PO-2025-00054,2025-05-07,Pacific Components Co.,APAC,Components,COM-2775,Ocean,BlueWave Lines,DC-South (GA),595,595.0,9.22,35,39.0,2025-06-11,2025-06-15,4.0,Delivered,False,True,5485.9,0.0
PO-2025-00055,2025-05-07,Great Lakes Packaging,North America,Packaging,PAC-1507,Ground,Continental Trucking,DC-Central (TX),5373,5373.0,1.13,7,4.0,2025-05-14,2025-05-11,0.0,Delivered,True,True,6071.49,1.0
